# started on Sun Mar  5 14:58:56 2017

    88.100616375 0  L1-dcache-prefetch-misses
    88.100616375 154725  L1-icache-load-misses
    88.601154325 743760  L1-dcache-store-misses
    88.601154325 0  L1-dcache-prefetch-misses
    88.601154325 158055  L1-icache-load-misses
    89.101857337 727993  L1-dcache-store-misses
    89.101857337 0  L1-dcache-prefetch-misses
    89.101857337 145529  L1-icache-load-misses
    89.602481730 738219  L1-dcache-store-misses
    89.602481730 0  L1-dcache-prefetch-misses
    89.602481730 150707  L1-icache-load-misses
    90.102803173 729902  L1-dcache-store-misses
    90.102803173 0  L1-dcache-prefetch-misses
    90.102803173 153536  L1-icache-load-misses
    90.603352549 787070  L1-dcache-store-misses
    90.603352549 0  L1-dcache-prefetch-misses
    90.603352549 167593  L1-icache-load-misses
    91.103717426 717190  L1-dcache-store-misses
    91.103717426 0  L1-dcache-prefetch-misses
    91.103717426 147031  L1-icache-load-misses
    91.604135706 743110  L1-dcache-store-misses
    91.604135706 0  L1-dcache-prefetch-misses
    91.604135706 162728  L1-icache-load-misses
    92.104589096 883927  L1-dcache-store-misses
    92.104589096 0  L1-dcache-prefetch-misses
    92.104589096 752371  L1-icache-load-misses
    92.605033024 714807  L1-dcache-store-misses
    92.605033024 0  L1-dcache-prefetch-misses
    92.605033024 154419  L1-icache-load-misses
    93.105592832 729706  L1-dcache-store-misses
    93.105592832 0  L1-dcache-prefetch-misses
    93.105592832 151851  L1-icache-load-misses
    93.606031677 765166  L1-dcache-store-misses
    93.606031677 0  L1-dcache-prefetch-misses
    93.606031677 153020  L1-icache-load-misses
    94.106897968 703379  L1-dcache-store-misses
    94.106897968 0  L1-dcache-prefetch-misses
    94.106897968 149363  L1-icache-load-misses
    94.607260349 714449  L1-dcache-store-misses
    94.607260349 0  L1-dcache-prefetch-misses
    94.607260349 154524  L1-icache-load-misses
    95.108099326 696982  L1-dcache-store-misses
    95.108099326 0  L1-dcache-prefetch-misses
    95.108099326 154278  L1-icache-load-misses
    95.608411048 724107  L1-dcache-store-misses
    95.608411048 0  L1-dcache-prefetch-misses
    95.608411048 148205  L1-icache-load-misses
    96.109348943 767920  L1-dcache-store-misses
    96.109348943 0  L1-dcache-prefetch-misses
    96.109348943 149721  L1-icache-load-misses
    96.610505189 754271  L1-dcache-store-misses
    96.610505189 0  L1-dcache-prefetch-misses
    96.610505189 151625  L1-icache-load-misses
    97.111000000 757020  L1-dcache-store-misses
    97.111000000 0  L1-dcache-prefetch-misses
    97.111000000 149484  L1-icache-load-misses
    97.611536651 757166  L1-dcache-store-misses
    97.611536651 0  L1-dcache-prefetch-misses
    97.611536651 150343  L1-icache-load-misses
    98.112019862 751191  L1-dcache-store-misses
    98.112019862 0  L1-dcache-prefetch-misses
    98.112019862 156543  L1-icache-load-misses
    98.612422736 769738  L1-dcache-store-misses
    98.612422736 0  L1-dcache-prefetch-misses
    98.612422736 158720  L1-icache-load-misses
    99.112712259 917123  L1-dcache-store-misses
    99.112712259 0  L1-dcache-prefetch-misses
    99.112712259 773426  L1-icache-load-misses
    99.613013841 731328  L1-dcache-store-misses
    99.613013841 0  L1-dcache-prefetch-misses
    99.613013841 160194  L1-icache-load-misses
   100.113533736 738509  L1-dcache-store-misses
   100.113533736 0  L1-dcache-prefetch-misses
   100.113533736 157415  L1-icache-load-misses
   100.614038410 723418  L1-dcache-store-misses
   100.614038410 0  L1-dcache-prefetch-misses
   100.614038410 151431  L1-icache-load-misses
   101.114544103 726534  L1-dcache-store-misses
   101.114544103 0  L1-dcache-prefetch-misses
   101.114544103 152839  L1-icache-load-misses
   101.614838366 774764  L1-dcache-store-misses
   101.614838366 0  L1-dcache-prefetch-misses
   101.614838366 155098  L1-icache-load-misses
   102.115702031 731573  L1-dcache-store-misses
   102.115702031 0  L1-dcache-prefetch-misses
   102.115702031 149512  L1-icache-load-misses
   102.616546785 739037  L1-dcache-store-misses
   102.616546785 0  L1-dcache-prefetch-misses
   102.616546785 149918  L1-icache-load-misses
   103.117581177 745996  L1-dcache-store-misses
   103.117581177 0  L1-dcache-prefetch-misses
   103.117581177 154704  L1-icache-load-misses
   103.618374526 721044  L1-dcache-store-misses
   103.618374526 0  L1-dcache-prefetch-misses
   103.618374526 163775  L1-icache-load-misses
   104.118934207 726717  L1-dcache-store-misses
