# started on Wed Mar  1 14:16:39 2017

    55.620303294 2897440  cache-misses
    55.620303294 1378124206  cycles
    55.620303294 295525312  instructions
    55.620303294 26937870  branches
    55.620303294 0  faults
    55.620303294 0  migrations
    55.620303294 8  context-switches
    56.120722132 3969068  cache-references
    56.120722132 2893647  cache-misses
    56.120722132 1384001834  cycles
    56.120722132 296681617  instructions
    56.120722132 27049984  branches
    56.120722132 0  faults
    56.120722132 0  migrations
    56.120722132 1  context-switches
    56.621102307 3979014  cache-references
    56.621102307 2902252  cache-misses
    56.621102307 1381183729  cycles
    56.621102307 295886535  instructions
    56.621102307 26972881  branches
    56.621102307 0  faults
    56.621102307 0  migrations
    56.621102307 5  context-switches
    57.121220410 4052152  cache-references
    57.121220410 2804691  cache-misses
    57.121220410 1242330506  cycles
    57.121220410 324274258  instructions
    57.121220410 35828033  branches
    57.121220410 1759  faults
    57.121220410 0  migrations
    57.121220410 56  context-switches
    57.623618147 3831257  cache-references
    57.623618147 2851121  cache-misses
    57.623618147 1344350844  cycles
    57.623618147 286866716  instructions
    57.623618147 26157393  branches
    57.623618147 0  faults
    57.623618147 0  migrations
    57.623618147 12  context-switches
    58.124261049 3748664  cache-references
    58.124261049 2821651  cache-misses
    58.124261049 1358244918  cycles
    58.124261049 290078728  instructions
    58.124261049 26477568  branches
    58.124261049 0  faults
    58.124261049 0  migrations
    58.124261049 9  context-switches
    58.624743836 3911028  cache-references
    58.624743836 2897273  cache-misses
    58.624743836 1387091203  cycles
    58.624743836 297595971  instructions
    58.624743836 27136851  branches
    58.624743836 0  faults
    58.624743836 0  migrations
    58.624743836 5  context-switches
    59.125136730 3853399  cache-references
    59.125136730 2842064  cache-misses
    59.125136730 1323251113  cycles
    59.125136730 280937937  instructions
    59.125136730 25606310  branches
    59.125136730 0  faults
    59.125136730 0  migrations
    59.125136730 7  context-switches
    59.625440366 3852573  cache-references
    59.625440366 2831962  cache-misses
    59.625440366 1319082897  cycles
    59.625440366 279946019  instructions
    59.625440366 25534952  branches
